test_index,matched_train_index,max_cosine_similarity,test_label,matched_train_label,test_text_preview,matched_train_text_preview
1469,15757,0.9771044239925086,0,0,DETECTIVE ON SETH RICH Murder Mystery Drops Shocking News [Video] Rod Wheeler was on Hannity last night with startling information on the Seth Rich murder mystery. He spoke about the mystery of why they can t locate the computer Rich used. They went ,"CONFIRMED BOMBSHELL: SETH RICH Sent Over 44,000 DNC Emails To Journalist, Best Friend Of Wikileaks Founder…DC Police Officer Claims They Were Told To “Stand Down” On Case [VIDEO] Just two months shy of the one-year anniversary of Rich s death, FOX 5 "
2881,20607,0.9756635780168423,0,0,"TRUMP CHALLENGES SENATORS ON OBAMACARE: “Frankly, we shouldn’t leave town.” [Video] President Trump just called on GOP Senators to continue working through recess on repealing and replacing Obamacare:Trump calls on GOP Senators to continue working th","PRESIDENT TRUMP BLASTS OBAMA: “Obamacare Was a Big, Big Lie! A Lie!… It Was a Lie by the President! …He said it 28 Times!” (VIDEO) President Trump gathered the Senators in the State dining room today and let it rip on Obama Awesome!President Trump th"
809,235,0.9755079661894447,1,1,"Factbox: Contenders, picks for key jobs in Trump's administration (Reuters) - U.S. President-elect Donald Trump said in an interview aired on Friday that he expected to have most members of his Cabinet announced next week. Trump takes office on Jan. ","Contenders, picks for key jobs in Trump's administration (Reuters) - U.S. President-elect Donald Trump said on Thursday he would nominate retired Marine Corps General James Mattis for defense secretary, the latest of about a dozen picks he has announ"
3326,18470,0.9747423934568671,0,0,WOW! BERKELEY MAYOR Who Allegedly Told Police To “Stand Down” Is Part Of Antifa Terrorist Facebook Group Americans were stunned when they were told the police officers were allegedly told to  stand down  and allow violent Antifa and Democrat rioters ,JUDGE JEANINE SOUNDS FREE SPEECH ALARM: “They are trying to silence you…It’s time to fight back!” [Video] Judge Jeanine lets it rip! She s concerned with the silencing of conservative voices in America: https://www.youtube.com/watch?time_continue=1&v
3191,11388,0.973825814964375,0,0,SLIPPERY SNAKE JAMES CLAPPER Resigns In Time For The Era Of Trump…Remember The “Not Wittingly” Moment? [Video] Remember the famous moment when US NATIONAL INTELLIGENCE CHIEF James Clapper was testifying about the NSA surveillance of Americans when he,‘NOT WITTINGLY’ JAMES CLAPPER Reveals Anti-Trump-Bitterness: “Our Institutions Are Under Assault” [Video] All you have to do is listen to Clapper lie before Congress and you know he has ZERO credibility to speak:Remember the famous moment when US NAT
3598,13943,0.970169844247412,1,1,"Factbox: Contenders for senior jobs in Trump's administration (Reuters) - The following people are mentioned as contenders for senior roles as U.S. President-elect Donald Trump assembles his administration before taking office on Jan. 20, according t","Factbox: Contenders for senior jobs in Trump's administration (Reuters) - The following people are mentioned as contenders for senior roles as U.S. President-elect Donald Trump assembles his administration before taking office on Jan. 20, according t"
846,10493,0.9682429203197549,1,1,"Factbox: Trump fills top jobs for his administration (Reuters) - President-elect Donald Trump will nominate high-frequency trading expert Vincent Viola to be secretary of the Army, a senior transition official said on Monday. Below is a list of Repub","Factbox: Trump fills top jobs for his administration (Reuters) - President-elect Donald Trump will nominate Republican U.S. Representative Mick Mulvaney to be director of the White House Office of Management and Budget, a senior transition official s"
2333,15364,0.9599672291210197,0,0,SARAH SANDERS…She Doesn’t Have Time For THIS! [Video] Sarah Sanders is great at getting the White House Press Corps to hurry it up The Supercut below shows the tactics used by this superstar to keep the wild press in line:Go Sarah!ONE OF OUR ALL TIME,WATCH SARAH SANDERS Slam CNN’s Jim Acosta Over Lies By The Main Stream Media: “I’m not finished” [Video] Sarah Huckabee Sanders was hot today when she went off on CNN s Jim Acosta over the fake news that s been constant the past few days. Jim Acosta 
3882,11657,0.9581665873913267,0,0,"EXTRAORDINARY DETAILS EMERGE About How Senator John McCain Got “Dirty Dossier” On President Trump From Ex-Spy…Where’s The Media Outrage? Where was the media s outrage when a sitting United States senator, John McCain went on a wild goose chase, that ","SHOCKING TESTIMONY Confirms Comey Used Fake Russian “Golden Showers” Dossier to Target Trump [Video] During congressional testimony, the CEO of Hermitage Capital was speaking about the  Foreign Agents Registration Act  (FARA). During the testimony th"
1884,7987,0.9577336723686113,0,0,"NANCY PELOSI Has Awkward Brain Freeze When Asked To Say Something Nice About Trump [Video] Yes, another brain freeze moment from Nancy Pelosi Why does she do this to herself? She continues to be the poster child for term limits!Comedian James Corden ","AWKWARD! Nancy Pelosi Slurs ‘Lyndon Baines Johnson’…Tells Audience to Clap [Video] Nancy Pelosi spoke for less than 8 minutes to the LBJ Foundation on Wednesday, but some attendees may have left the event wondering what is wrong with the House Minori"
2839,80,0.9556906810927084,0,0,"Digital Tabloids, Narco-memes & The League of Shadows: Boiler Room EP #136 Tune in to the Alternate Current Radio Network (ACR) for another LIVE broadcast of  The Boiler Room  tonight 6:00 PM PST | 8:00 PM CST | 9:00 PM EST for this special broadcast","Digisexual Robot Pimps, Swamp Chess, Hollywood & DC Cannibalism: Boiler Room EP #137 Tune in to the Alternate Current Radio Network (ACR) for another LIVE broadcast of  The Boiler Room  tonight 6:00 PM PST | 8:00 PM CST | 9:00 PM EST for this special"
1503,7438,0.9548180304864848,0,0,"RADICAL “TOLERANT” FEMALE Black Bloc, Antifa Leader Follows Muslim Boyfriend To Turkey… Surprised When She Was Beaten, Raped DC Antifa Leader Moved to Turkey with Man She Met, Surprised When Beaten and Abused https://t.co/MsBtGGxwem pic.twitter.com/X","RADICAL “TOLERANT” FEMALE Antifa, Black Bloc, Leader Follows Muslim Boyfriend To Turkey… Surprised When She Was Beaten, Raped DC Antifa Leader Moved to Turkey with Man She Met, Surprised When Beaten and Abused https://t.co/MsBtGGxwem pic.twitter.com/"
2443,9955,0.9531796409654468,0,0,MUSLIM ATHLETE Given “Hero’s Welcome” ARRESTED For Sexual Abuse Of 12-Yr Old Girl After Senator Schumer Helped Him Get Around U.S. Visa Denial An Indian athlete who overcame a visa denial with the help of U.S. lawmakers and a local mayor to attend th,MUSLIM ATHLETE Given “Hero’s Welcome” INDICTED For Sexual Abuse Of 12-Yr Old Girl After Senator Schumer Helped Him Get Around U.S. Visa Denial The media CHEERED when Democrat Senator Chuck Schumer (D-NY) helped a 24-yr old Muslim man enter the U.S. a
1348,23581,0.9500224869091297,1,1,"Factbox: Contenders for key jobs in Trump's administration (Reuters) - Below are people mentioned as contenders for senior roles as U.S. President-elect Donald Trump works to form his administration before taking office on Jan. 20, according to Reute","Factbox: Contenders for key jobs in Trump's administration (Reuters) - Below are people mentioned as contenders for senior roles as U.S. President-elect Donald Trump works to form his administration before taking office on Jan. 20, according to Reute"
487,24275,0.9498343290767082,1,1,"What will be in Obama's final budget proposal? (Reuters) - President Barack Obama is set on Tuesday to unveil his budget proposal for fiscal year 2017, his final year in office.  But since the Republican-controlled Congress controls the purse strings","Factbox: What will be in Obama's final budget proposal? (Reuters) - President Barack Obama is set on Tuesday to unveil his budget proposal for fiscal year 2017, his final year in office.  But since the Republican-controlled Congress controls the purs"
998,914,0.9491264553717255,0,0,BREAKING: HOUSE REPUBLICANS To File Charges Against The IRS’s Lois Lerner [Video] Who can forget when Lois Lerner sat smugly before the House panel and plead the 5th She sat there as cool as a cucumber and didn t answer about the IRS targeting of con,LOIS LERNER E-MAIL SNIPPETS REVEAL A BITTER B*TCH: “Lincoln should have let the South go…” It s official! Lois Lerner is the bitter b*tch we all knew she was when she took the 5th before Congress. Who s not surprised that she targeted conservatives w
3602,26412,0.9421105186746929,0,0,"Boiler Room EP #71: ‘One Million Mark’ Tune in to the Alternate Current Radio Network (ACR) for another LIVE broadcast of  The Boiler Room  starting at 6 PM PST | 9 PM EST for this special broadcast. Join us for uncensored, uninterruptible talk radio","Boiler Room EP #78 Tune in to the Alternate Current Radio Network (ACR) for another LIVE broadcast of  The Boiler Room  starting at 6 PM PST | 9 PM EST for this special broadcast. Join us for uncensored, uninterruptible talk radio, custom-made for ba"
3430,5923,0.9307613695015694,0,0,OBAMA DEFENDS KAEPERNICK’S Decision to Disrespect American Flag: “He’s generated more interest in something that needs to be talked about” When Obama had the opportunity to speak out against 49er s quarterback Colin Kaepernick s disrespect for our fl,"WATCH: Colin Kaepernick’s Worst Nightmare [Video] You might remember this bright moment from when Obama was president A couple of years ago, 500 high school choir students sang the Star-Spangled Banner in the 18-story atrium of a Hyatt hotel in Louis"
1600,17328,0.9285893870307199,0,0,MEDIA IGNORES! HOUSE DEM IT SUSPECTS Wanted Untraceable Payments…Then Millions Disappeared The media has ignored the case of Muslim Brotherhood connected brothers who hacked the DNC and now it s looking like they worked their magic to make millions d,WOW! 3 MUSLIM BROTHERS Working For Dems In Congress CAUGHT Accessing Unauthorized Top-Secret Government Intel…One Has Criminal Background…May Have Ties To Muslim Brotherhood [VIDEO] 3 Congressional IT employees have been fired for accessing members c
1062,23374,0.9280835101421231,0,0,"Boiler Room #99 – Almost to 100! Tune in to the Alternate Current Radio Network (ACR) for another LIVE broadcast of  The Boiler Room tonight 6:00 PM PST | 8:00 PM CST | 9:00 PM EST for this special broadcast. Join us for uncensored, uninterruptible t",Boiler Room #97 – Mermaids and Swamp Life Tune in to the Alternate Current Radio Network (ACR) for another LIVE broadcast of  The Boiler Room  starting at a special time tonight 6:00 PM PST | 8:00 PM CST | 9:00 PM EST for this special broadcast. Join
2893,1815,0.9262846590891822,1,1,"Pakistan army pushed political role for militant-linked groups LAHORE, Pakistan (Reuters) - A new Pakistani political party controlled by an Islamist with a $10 million U.S. bounty on his head is backing a candidate in a by-election on Sunday, in wha","Pakistan army pushed political role for militant-linked groups LAHORE, Pakistan (Reuters) - The backing of a candidate in a by-election last weekend in Pakistan by a political party controlled by an Islamist with a $10 million U.S. bounty on his head"
538,11561,0.9216801521843875,1,1,"Factbox: Build a giant wall, cut Education Department. What a President Trump would do (Reuters) - Presidential candidate Donald Trump has been accused by some in his Republican Party of being vague on policy specifics and heavy on rhetoric. Here is ","Factbox: Build a giant wall, cut Education Department. What a President Trump would do WASHINGTON (Reuters) - Republican presidential candidate Donald Trump, who scored a major victory in a series of Super Tuesday nominating contests, has been critic"
1803,25676,0.9208892446763465,0,0,"Boiler Room #100 – An Unlikely Alchemy Tune in to the Alternate Current Radio Network (ACR) for another LIVE broadcast of  The Boiler Room tonight at 6:00 PM PST | 8:00 PM CST | 9:00 PM EST for this special broadcast. Join us for uncensored, uninterr",Boiler Room #94 – President Trump & The Great Neo-Liberal Freakout of 2017 Tune in to the Alternate Current Radio Network (ACR) for another LIVE broadcast of  The Boiler Room  starting at 6:00 PM PST | 8:00 PM CST | 9:00 PM EST for this special broad
1347,13943,0.9191916320590646,1,1,"Factbox: Contenders for senior jobs in Trump's administration (Reuters) - The following people are mentioned as contenders for senior roles as U.S. President-elect Donald Trump assembles his administration before taking office on Jan. 20, according t","Factbox: Contenders for senior jobs in Trump's administration (Reuters) - The following people are mentioned as contenders for senior roles as U.S. President-elect Donald Trump assembles his administration before taking office on Jan. 20, according t"
3504,26910,0.9184137007475064,0,0,"BOILER ROOM: As the Frogs Slowly Boil – EP #40 Tune in to the Alternate Current Radio Network (ACR) for another LIVE broadcast of  The Boiler Room  starting at 6 PM PST | 9 PM EST every Wednesday. Join us for uncensored, uninterruptible talk radio, c","BOILER ROOM – Examination, Exclamation, Excitation, Expatriation – EP #42 Tune in to the Alternate Current Radio Network (ACR) for another LIVE broadcast of  The Boiler Room  starting at 6 PM PST | 9 PM EST every Wednesday. Join us for uncensored, un"
1793,11675,0.9122288061256839,0,0,"DEM CONGRESSMAN Displays “Cops As Pigs” Painting On House Floor…You Won’t Believe What His Colleagues Called The Painting! [VIDEO] You remember this story, don t you? It caused a battle between pro-cop and anti-cop Congressman a few months ago.Well, ",BLACK CONGRESSMAN Plans To File Lawsuit Because Of Removal Of “POLICE AS PIGS” PAINTING From Capitol Building [Video] Congressman Lacy Clay plans on filing a federal lawsuit regarding the removal of a painting that was taken down from display in the 
1625,26623,0.9039123720911018,1,1,"Factbox: Women who have alleged inappropriate conduct by Trump (Reuters) - Several women have accused U.S. Republican presidential candidate Donald Trump of sexual advances and groping. Among his accusers are a Miss Utah beauty pageant winner, a busi","Factbox: Women who have alleged inappropriate conduct by Trump (Reuters) - At least 12 women have accused U.S. Republican presidential candidate Donald Trump of sexual advances and groping. Among his accusers are a Miss Utah beauty pageant winner, a "
2952,18428,0.9027441023086064,1,1,"Emirates, Etihad, Qatar to let barred passengers on U.S. flights DUBAI (Reuters) - Emirates [EMIRA.UL], Etihad Airways and Qatar Airways said on Saturday they will allow passengers barred by President Donald Trump’s executive order to board U.S.-boun","Etihad, Qatar Airways to let barred passengers back on U.S. flights DUBAI (Reuters) - Gulf carriers Etihad Airways and Qatar Airways said on Saturday they will allow passengers barred from the United States by President Donald Trump’s executive order"
1339,13856,0.900606684258808,1,1,House panel approves legislation to speed deployment of self-driving cars WASHINGTON (Reuters) - An influential U.S. House committee on Thursday approved a revised bipartisan bill on a 54-0 vote that would speed the deployment of self-driving cars wi,House to vote on self-driving car legislation next week (Reuters) - The U.S. House of Representatives will vote Wednesday on a sweeping proposal to speed the deployment of self-driving cars without human controls and bar states from blocking autonomo
3228,15867,0.8981845121668984,1,1,U.N. experts urge Hong Kong to uphold rights of democracy activists GENEVA (Reuters) - U.N. human rights experts urged Hong Kong to uphold the fundamental freedoms of expression and assembly on Tuesday when a court hears a final appeal of three promi,"Jailed Hong Kong democracy activists win last chance to appeal HONG KONG (Reuters) - A Hong Kong court on Tuesday allowed three jailed young activists, who spearheaded pro-democracy protests that brought much of the Chinese-ruled city to a halt in 20"
3521,12530,0.8960371083975411,0,0,MARK STEYN ON CNN EXTORTION: Wolf Blitzer Has Put A Horse’s Head In Some Guy’s Bed Mark Steyn joined Tucker Carlson tonight to discuss the threat from CNN to the guy who made the video of President Trump wrestling with the CNN logo (see below)  Wolf ,SMUG CNN ANCHORS Say They Won’t Release Identity Of Trump/WWE Video Creator Because of His ‘Remarkable’ Apology The hosts of  New Day  dug a deeper hole for CNN on Wednesday when they said that the network would not identify the Reddit user behind th
1922,6984,0.8913468827605545,0,0,LOU DOBBS WARNS: “Coup d’etat against Trump in full swing”…Who’s behind it? [Video] THIS IS HUGE! Lou Dobbs joined Sean Hannity to discuss the constant effort to destroy President Trump. Dobbs has mentioned a coup before (SEE BELOW) but is doubling d,JOHN BOLTON GETS IT: ‘This is the First Attempted Coup D’etat in America’s History’…Who’s Behind It? [Video] Ambassador Bolton gets it! He and so many others see what s going on and how the left is trying to destroy the Trump administration Ambassado
3466,80,0.8907950818320252,0,0,Halloween Fireside Book of Suspense Vol. 2: Boiler Room EP #133 Tune in to the Alternate Current Radio Network (ACR) for another LIVE broadcast of  The Boiler Room  tonight 6:00 PM PST | 8:00 PM CST | 9:00 PM EST for this special broadcast. Join us f,"Digisexual Robot Pimps, Swamp Chess, Hollywood & DC Cannibalism: Boiler Room EP #137 Tune in to the Alternate Current Radio Network (ACR) for another LIVE broadcast of  The Boiler Room  tonight 6:00 PM PST | 8:00 PM CST | 9:00 PM EST for this special"
1859,23878,0.8899147977117635,1,1,Hong Kong soccer fans defy Beijing by booing Chinese national anthem HONG KONG (Reuters) - Hundreds of Hong Kong soccer fans booed and jeered the Chinese national anthem at an Asia Cup qualifier match on Tuesday in defiance of Communist Party rulers ,"Under China anthem cloud, rare interest in Hong Kong vs Bahrain soccer friendly HONG KONG (Reuters) - Some activists in Hong Kong say they plan to defy a Chinese law against disrespecting the national anthem, by jeering it at international soccer fix"
519,20788,0.889039105272504,1,1,"Man arrested trying to climb wall at UK's Buckingham Palace LONDON (Reuters) - British police on Monday said they had arrested a man who tried  to climb a wall at Queen Elizabeth s Buckingham Palace home in central London, but said that the incident ","Woman arrested trying to scale gates of UK's Buckingham Palace LONDON (Reuters) - British police said they had arrested a woman who was trying to scale the front gates of Queen Elizabeth s Buckingham Palace home in central London on Saturday, saying "
2912,20971,0.8807582424482965,1,1,"Kremlin pledges to stand up for Russian billionaire arrested in France MOSCOW/PARIS (Reuters) - The Kremlin said on Wednesday it will spare no effort to defend the rights of Suleiman Kerimov, a Russian businessman and lawmaker who was arrested in the","Russian billionaire under investigation in France NICE/MOSCOW (Reuters) - A French judge put Russian businessman and lawmaker Suleiman Kerimov, whose interests the Kremlin has pledged to defend, under formal investigation on Wednesday after his arres"
12,19264,0.8792461170323789,1,1,"EU lawmakers propose cuts in aid to Turkey tied to membership bid STRASBOURG (Reuters) - The European Parliament proposed on Wednesday to reduce EU funds to Turkey that are linked to its stalled bid to join the bloc, a call EU leaders are expected to","In warning to Ankara, EU cuts funds for Turkey's membership bid BRUSSELS (Reuters) - The European Union is set to cut up to 175 million euros for Turkey in 2018 that are linked to Ankara s stalled bid to join the bloc and could block some 3.5 billion"
3665,4734,0.8787595052963378,1,1,New Zealand calls in navy to beat jet fuel shortage before vote WELLINGTON (Reuters) - A New Zealand navy vessel will ferry diesel fuel around the country as the government rushes to alleviate a days-long fuel shortage that has cast air travel into d,"New Zealand jet fuel rations increased as government calls in navy to beat shortage WELLINGTON (Reuters) - New Zealand will partially ease fuel rationing on Thursday night, a spokesman for the country s oil industry said, a sign that the five-day lon"
475,13261,0.8735759961118976,0,0,"BOILER ROOM – EP #51 – Social Rejects & Political Pessimists Club Tune in to the Alternate Current Radio Network (ACR) for another LIVE broadcast of  The Boiler Room  starting at 6 PM PST | 9 PM EST every Wednesday. Join us for uncensored, uninterrup","BOILER ROOM – EP #55 – Roasting the Wretched Hive of Scum and Villainy Tune in to the Alternate Current Radio Network (ACR) for another LIVE broadcast of  The Boiler Room  starting at 6 PM PST | 9 PM EST every Wednesday. Join us for uncensored, unint"
705,5783,0.8686442761931393,1,1,"Nigerian army says it repels suspected Boko Haram militant attack MAIDUGURI, Nigeria (Reuters) - Nigeria s army said it had repelled an attack on Monday by suspected Boko Haram militants on the city at the center of the conflict with the Islamist ins","Four killed in suspected Boko Haram Nigeria attack on Monday: sources LAGOS (Reuters) - Four civilians were killed in an attack by suspected Boko Haram militants on Monday in the Nigerian city at the center of a conflict with the Islamists, a residen"
838,845,0.8682648145182212,1,1,"Iraqi parliament 'has no right' to remove Kirkuk's governor: senior Kurdish official ERBIL, Iraq (Reuters) - Iraq s parliament  has no right  to remove Kirkuk s governor from office, a senior Kurdish official said on Thursday, after parliament voted ","Iraqi parliament votes to remove kirkuk governor from office: lawmakers BAGHDAD (Reuters) - Iraq s parliament voted on Thursday to remove the governor of Kirkuk from office following a request from Prime Minister Haider al-Abadi, according to several"
1177,26910,0.8678538226820047,0,0,"BOILER ROOM – EP #43 – Cloppers, OR Osmosis, MK Ultra & Voltron Tune in to the Alternate Current Radio Network (ACR) for another LIVE broadcast of  The Boiler Room  starting at 6 PM PST | 9 PM EST every Wednesday. Join us for uncensored, uninterrupti","BOILER ROOM – Examination, Exclamation, Excitation, Expatriation – EP #42 Tune in to the Alternate Current Radio Network (ACR) for another LIVE broadcast of  The Boiler Room  starting at 6 PM PST | 9 PM EST every Wednesday. Join us for uncensored, un"
111,11539,0.866564817474005,1,1,Peru's Kuczynski urges people to accept Fujimori pardon and 'turn the page' LIMA (Reuters) - Peru s President Pedro Pablo Kuczynski defended his pardon for Alberto Fujimori on Monday as justified clemency for an ailing man whose authoritarian governm,"Peru president pardons ex-leader Fujimori; foes take to streets LIMA (Reuters) - Peruvian President Pedro Pablo Kuczynski pardoned former authoritarian leader Alberto Fujimori late on Sunday, triggering Christmas Eve street clashes as protesters deno"
3017,10673,0.8640821666369259,1,1,Iran 'hopes Hariri will remain Lebanon's prime minister' LONDON (Reuters) - An Iranian official said on Tuesday Tehran hoped Saad al-Hariri would remain as Lebanon s prime minister and denied Hariri had resigned after a tense meeting with him in Beir,"Iran, Lebanon's Hariri differ on key meeting BEIRUT (Reuters) - A top Iranian official and Lebanon s Saad al-Hariri gave conflicting accounts on Tuesday of a key meeting they had held right before Hariri quit as prime minister, a move he attributed t"
2043,23878,0.8626462120175307,1,1,"China extends national anthem 'disrespect' law to Hong Kong BEIJING (Reuters) - China s largely rubber-stamp parliament formally extended a law banning disrespect of the national anthem on Saturday to cover Hong Kong, a move that critics have said un","Under China anthem cloud, rare interest in Hong Kong vs Bahrain soccer friendly HONG KONG (Reuters) - Some activists in Hong Kong say they plan to defy a Chinese law against disrespecting the national anthem, by jeering it at international soccer fix"
1668,15280,0.8593601562683846,1,1,"Iraq demands U.S. backtrack on Jerusalem, militia says troops a target BAGHDAD (Reuters) - Iraq demanded on Thursday that the U.S. government backtrack on a decision to recognize Jerusalem as Israel s capital to avoid fuelling terrorism, and a promin","Iraq demands U.S. backtrack on Jerusalem, summons ambassador BAGHDAD (Reuters) - Iraq demanded on Thursday that the U.S. government backtrack on a decision to recognize Jerusalem as Israel s capital and summoned the U.S. ambassador in Baghdad to prot"
3225,8193,0.858997251667715,0,0,WATCH MAXINE WATERS Go Ballistic When Confronted By A Constituent Who Says “I love my President” [Video] The latest video of Maxine Waters is downright hysterical! She s confronted by one of her constituents who says they re going to work every day t,NANCY PELOSI GIGGLES LIKE A CHILD: Says It’s Hard to Call Donald Trump President Trump Nancy Pelosi couldn t sink any lower than this. She was doing a question and answer when she giggled and said she can t call Donald Trump president Trump. The odde
179,24191,0.8587920590466718,0,0,‘I WAS STUNNED’: John Kelly Defends Trump’s Phone Call to Green Beret Widow [Video] White House Chief of Staff John Kelly says he was stunned to learn that Congresswoman Frederica Wilson listened in on the president s call to a fallen soldier s wife.,"BOOM! WATCH VIDEO FOUND Proving Gen. Kelly Right On ‘Grandstanding’ Cowgirl Congresswoman [Video] Sounds to me like Gen. Kelly got it right. This portion of her speech seems to emphasize her role in getting the naming done. That was his point, she ne"
807,7022,0.8572011181293774,1,1,Sinn Fein's Adams to outline succession plan in November DUBLIN (Reuters) - Sinn Fein President Gerry Adams said on Tuesday he would outline his succession plans in November as the former political wing of the Irish Republican Army (IRA) prepares to ,"Gerry Adams to step down in end of an era for Irish nationalism DUBLIN (Reuters) - Sinn Fein s Gerry Adams, a pivotal figure in the political life of Ireland for almost 50 years, said on Saturday he will step down as party leader and complete a gener"
1918,2070,0.855645514303564,1,1,"Tillerson avoids public conflict with Trump over budget WASHINGTON (Reuters) - While he has swallowed a big budget cut and had the White House veto his chosen deputy, Secretary of State Rex Tillerson is avoiding a public conflict with U.S. President ","Despite budget cuts, Tillerson works to win long-term influence WASHINGTON (Reuters) - While he has swallowed a big budget cut, had his chosen deputy vetoed, and been dismissed as invisible in his own building, Secretary of State Rex Tillerson is pla"
396,300,0.8554319677832708,1,1,U.S. seeks up to 27 months in prison for ex-Congressman Anthony Weiner  (This version of the Sept. 20 story corrects to say that Weiner was defeated and did not drop out of the 2013 mayoral election in last paragraph) By Brendan Pierson (Reuters) - U,"Ex-U.S. congressman Weiner seeks to avoid prison in teen 'sexting' case  (This version of the Sept. 14 story corrects to say that Weiner was defeated in the 2013 mayoral election, did not drop out, in last paragraph) By Brendan Pierson NEW YORK (Reut"
3489,12757,0.8518030076336399,1,1,"Taiwan says Chinese air force exercised near island 16 times in last year TAIPEI (Reuters) - China s air force has carried out 16 rounds of exercises close to Taiwan in the last year or so, Taiwan s defense ministry said on Tuesday, warning that Chin","Get used to drills, China tells Taiwan; Taipei says it seeks peace BEIJING/TAIPEI (Reuters) - Taiwan will gradually get used to Chinese air force drills that encircle the island, China said on Wednesday, while Taiwan s premier reiterated the self-rul"
